16,Akami-Uapishk KakKasuak-Mealy Mountains National Park,"Located in Labrador, the glacially-rounded, bare rock summits of the Mealy Mountains reach up to 1180 meters to overlook Lake Melville. The pristine landscape of mountain tundra, marine coasts, boreal forests, islands and rivers are home to numerous boreal species","National Park Reserve, Mealy Mountains"
17,Gros Morne National Park,"Cruise sheer-walled fjords and hike diverse landscapes from windswept shorelines to sub-Arctic summits. Explore rare geological oddities that earned Gros Morne UNESCO World Heritage status, and relax amid the culture of Newfoundland’s coastal communities.",Rocky Harbour NL A0K 4N0
18,Terra Nova National Park,"A dramatic Atlantic shoreline, fringed in long headlands and fjords with views of whales and icebergs, gives way to marshland, tranquil ponds and wildlife-filled boreal forest – Terra Nova is accessible, wild Newfoundland for outdoor enthusiasts and nature-lovers of every age.","Trans-Canada Hwy Glovertown, Traytown, NL A0G 4K0"
19,Torngat Mountains National Park,"Amid jagged peaks and vast glacial valleys, polar bears and caribou roam the Torngat Mountains, for centuries the homeland of Inuit who today now welcome visitors to experience a dramatic landscape where nature and culture meet.","Torngat Mountains, Nain, NL A0P 1L0"
20,Aulavik National Park,"Located in Canada’s Northwest Territories, Aulavik is among the country’s most remote national parks. But it rewards adventurers with untouched tundra, pristine rivers, archaeological sites and ample wildlife, from muskoxen to seals and other marine mammals.","Aulavik National Park, Sachs Harbour, NT X0E 0Z0"
21,Nahanni National Park Reserve,"Remote granite pinnacles lure top alpinists, wilderness river tripping opportunities attract paddlers, interpreters share cultural and natural history with river trippers, campers and day flight visitors.   ","Fort Smith, Unorganized, NT"
22,Nááts'?hch'oh National Park Reserve,In the headwaters of Tehjeh Deé (South Nahanni River) Nááts'?hch'oh National Park Reserve is a place where culture and nature are intertwined. Nááts'?hch'oh offers whitewater paddling and off-the-grid hiking in the Northwest Territories for experienced adventurers.,"Fort Smith Region, Tulita, NT"
23,Thaidene Nëné National Park Reserve,"Located at the eastern end of Great Slave Lake in the Northwest Territories, Thaidene Nëné National Park Reserve is part of a larger group of protected areas around the East Arm and Artillery Lake regions. Thaidene Nëné means ‘Land of the Ancestors’ in the Dënes??iné—or Chipewyan—language.","Thaidene Nene National Park Reserve Lutselk'e, NT"
24,Tuktut Nogait National Park,"Arctic rivers, waterfalls, canyons and tundra combine to provide habitat for caribou, muskoxen, wolves and other arctic species.","Inuvik, Unorganized, NT X0E 1N"
25,Wood Buffalo National Park,Wood Buffalo National Park is our country's largest national park and one of the largest in the world. It protects an outstanding and representative example of Canada's Northern Boreal Plains.,59°23?N 112°59?W? / ?59.383°N 112.983°W
26,Cape Breton Highlands National Park,"A third of the world-famous Cabot Trail winds through Cape Breton Highlands National Park, renowned for stunning ocean vistas, deep-cut canyons, 26 diverse hiking trails, spectacular campsites and glorious sandy beaches.","Ingonish Beach, NS"
27,ejimkujik National Park and National Historic Site,"Explore 4,000 years of Mi’kmaw heritage. Camp lakeside amidst Acadian forest. Spot harbour seals from a singing beach. Be enthralled by a Dark Sky Preserve. There are many sides to Kejimkujik and you can discover them all.","3005 Kejimkujik Main Parkway, Maitland Bridge, NS B0T 1B0"
28,Sable Island National Park Reserve,"A home to wild horses, submerged shipwrecks, rare birds and basking grey seals, Sable Island National Park Reserve defines the word “remote.”","Sable Island, Halifax, NS B0J 1M0"
29,Auyuittuq National Park,"Home to spectacular natural landmarks like the Akshayuk Pass, Thor Peak and the Penny Ice Cap, Auyuittuq is the “land that never melts” in Inuktitut.","Qikiqtaaluk Region, NU X0A 0R0"
30,Qausuittuq National Park,A home for the endangered Peary caribou and a traditional Inuit hunting and fishing area on Bathurst Island in Nunavut’s High Arctic.,"Qikiqtaaluk Region, NU"
31,Quttinirpaaq National Park,"Inuktitut for “land at the top of the world”, Quttinirpaaq is Canada’s northernmost national park, a vast arctic wilderness on Ellesmere Island.","Ellesmere Island, NU"
32,Sirmilik National Park,"Narwhals, belugas, polar bears and thousands of seabirds thrive in the Arctic landscape of Bylot Island and Baffin Island’s Borden Peninsula.","Bylot Island, NU"
33,Ukkusiksalik National Park,An area rich in arctic wildlife and Inuit history where hundreds of archaeological sites dot the landscape surrounding Wager Bay.,"Kivalliq Region, NU X0C 0H0"
34,Bruce Peninsula National Park,"Bruce Peninsula National Park beckons hikers to travel woodland trails, swimmers to refresh in clear waters, explorers to discover the rugged limestone coast and campers to revel at a stunning night sky.","Tobermory, ON N0H 2R0"
35,Georgian Bay Islands National Park,Swim in Lake Huron’s clear waters. Cycle wooded island trails. Hike paths that meander between ecosystems. Unwind at a cosy cabin. Welcome to an inspiring and beautiful place. Welcome to Georgian Bay Islands National Park.,"2611 Honey Harbour Road, Honey Harbour, ON P0E 1E0"
36,Point Pelee National Park,"Explore the Southernmost point of mainland Canada at Point Pelee National Park. Enjoy walking and cycling trails, paddling, birding, swimming and more.","1118 Point Pelee Dr, Leamington, ON N8H 3V4"
37,Pukaskwa National Park,Waves roll across immense Lake Superior and crash against a remote granite shore. Tracts of windswept spruce and pine reach beyond the horizon from towering cliffs and along secluded sandy beaches. Black bears feast on blueberry bushes; haunting loon song scores sunsets; moose stilt-walk across wetlands. And the culture of the Anishinaabe First Nations connects Pukaskwa National Park's wilderness to the powerful richness of an ancient human story.,"ON-627, Heron Bay, ON P0T 1R0"
38,Rouge National Urban Park,"Explore one of the largest urban parks in North America, conveniently located in the Greater Toronto Area. Discover the natural wonders of Canada through the park's rich assembly of forests, creeks, farms and trails as well as marshland, a beach on Lake Ontario and human history spanning 10,000 years.  ","25 Zoo Rd, Toronto, ON M1B 5W8"
39,Thousand Islands National Park,"Granite islands speckle the St. Lawrence River in a transition zone between Canadian Shield and Adirondack Mountains. Explore by boating, paddling, or hiking. Awesome Thousand Islands National Park awaits, a few hours from Toronto or Montreal.","1121 Thousand Islands Pkwy, Mallorytown Landing, ON K0E 1R0"
40,Prince Edward Island National Park,"Cliff and dune-lined beaches, woodlands and wetlands rich with wildlife, and all levels of outdoor activities make Prince Edward Island National Park a diverse and accessible natural destination for a seaside escape, restful or active.","41 Dalvay Crescent, Dalvay by the Sea, PE C0A 1P0"
41,Forillon National Park,"Forillon is a place where you can paddle with seals, watch passing whales and swim off a magnificent sandy beach all on the same day. You may even see a beaver on a walk through the forest.","2286 Bd de Grande-Grève, Gaspé, QC G4X 6L7"
42,La Mauricie National Park,"With its 536 km2 area, La Mauricie National Park is the ideal place for an outdoor escape. Hills, forests and streams are accessible any season of the year.","Chem. de Saint-Jean-des-Piles, Shawinigan, QC G0X 2V0"
43,Mingan Archipelago National Park Reserve,"The first word that springs to mind at the mention of the Mingan Archipelago is “remote”. Far from the hustle and bustle of everyday life, Mother Nature enchants with limestone sculptures, prolific marine and bird life, and the seductive sound of the sea.","1010 Promenade Des Anciens, Havre-Saint-Pierre, QC G0G 1P0"
44,Grasslands National Park,"At Grasslands National Park, expanses of dinosaur fossils harken back to a time before history. Tipi rings are testament to First Nations communities, and ruins of prairie homesteads tell of settlers intent on taming the prairie.","SK-4, Val Marie, SK"
45,Prince Albert National Park,"Prince Albert National Park offers accessible wilderness and extensive outdoor recreation in central Saskatchewan. Hike boreal forests, canoe pristine lakes and see free-range bison, with the town of Waskesiu as a convenient base.","969 Lakeview Dr, Waskesiu Lake, SK S0J 2Y0"
46,Ivvavik National Park,"Rafters from around the world meet up in Ivvavik National Park. The Firth River slices through canyons and mountain valleys to the Arctic Ocean.  A fly-in base camp offers hikers access to an Arctic landscape of tors, peaks and rolling hills untouched by the last Ice Age. ","Ivvavik National Park, Unorganized, YT Y0B 1G0"
47,Kluane National Park and Reserve,"With vast icefields and 17 of Canada’s 20 highest peaks, Kluane offers outstanding alpine scenery, rich First Nations culture and history, and a mix of extreme adventure and accessible outdoor recreation.  ","Haines Junction, YT Y0B 1L0"
48,Vuntut National Park,Explore untouched northern landscapes and learn the story of the Vuntut Gwitchin people and their relationship to the land and animals of the northern Yukon. ,YT Y0B 1N0
