4,Waterton Lakes National Park | Private Exclusive Tour,"Waterton Lakes, a UNESCO Biosphere Reserve and sister park to Glacier, is one of the most diverse national parks in Canada. On this jam-packed full-day tour, you’ll see it all: Red Rock Canyon, Cameron Lake, Cameron Falls, Waterton Village, and so much more, from cougars and lynx to coyotes and moose. Best yet, your guide handles all transport and navigation so you can focus on adventure.",451.68,0,Traveller pickup offered after booking is confirmed.
4,Afternoon Tea,"Inspired by British tradition, Afternoon Tea features a selection of quality teas and a variety of delectable sandwich squares and pastries. ",59,29.5,"AB-5, Waterton Park, AB T0K 2M0"
4,Waterton Bertha Lake Hike,"Bertha Lake is a sight to see and an alpine lake worth adventuring to enjoy. Along the way, we see some of the most incredible wildflowers in Waterton, while also getting views of Upper Waterton Lake. We get a little bit of everything along this trail: mountain vistas, wildflower galore, waterfall paradise, ancient fossils, and an alpine lake. ",140,140,"117 Evergreen Ave, Waterton Park, AB T0K 2M0, Canada"
5,Half Day Scenic Float on the Middle Fork of the Flathead River,"Take a break from sightseeing and rushing from place to place and spend a few hours floating on the Middle Fork of the Flathead River. This relaxing and rejuventating tour takes place on the boundary to Glacier National Park. Enjoy the scenery as you float and, with luck, spot some wildlife along the way.",75,55,"106 Going-to-the-Sun Rd, West Glacier, MT 59936, USA"
5,West Scenic & Polebridge Scenic Driving Tour,"Enjoy comfortable, private transportation and a knowledgeable, experienced local guide. Your tour takes away the stress of driving around the park so you can enjoy the day with your family or travel group. Learn about the history of the park and the valley, enjoy the sights, and experience different areas of Glacier National Park. ",764.38,0,"541 Spokane Ave, Whitefish, MT 59937, USA"
5,Half-Day Glacier National Park Whitewater Rafting Adventure,"See Glacier National Park in a way that few people get to with this half-day whitewater rafting tour. You'll get your bearings paddling through a calm stretch of water before making your way to the John Stevens Canyon, where you'll tackle a variety of thrilling rapids. A guide will be with you throughout your adventure and beginners are welcome to join in on the fun.",121.58,91.56,"12127 US-2, West Glacier, MT 59936, USA"
5,East Glacier & Two Medicine Scenic Driving Tour,"Leave behind worrying about Glacier National Park’s confusing reservation system and book a guided scenic driving tour that takes care of it all. You’ll explore the park’s popular East Glacier and Two Medicine areas, witnessing spectacular spots like East Glacier Park Lodge and Two Medicine Lake. Your guide provides valuable insight along the way, ensuring you get the most out of your time in “The Crown of the Continent.”",833.86,0,"541 Spokane Ave, Whitefish, MT 59937, USA"
6,Gulf Islands Kayak and Seaplane Adventure,"Discover some of the most diverse marine wildlife in the world on this guided, full-day kayak adventure in British Columbia’s Gulf Islands. Explore this natural paradise with a seaplane flight from Vancouver. Then kayak along the waters of Saltspring Island in search of a wide variety of marine invertebrates, fish and sea mammals. Look for whales, harbor seals, river otters, sea lions, seagulls, eagles and more, including the rocky reefs and kelp beds of this protected bay area. Round-trip transportation from Vancouver plus a barbecue picnic lunch on the beach are included.",789,599,"Pickup is available from all hotels, private residences, and Airbnb in Vancouver."
6,Butchart Gardens & Victoria Tour from Vancouver,"Visit Victoria and its celebrated Buchart Gardens with a local guide by booking this day trip from Vancouver. You'll visit many of Victoria's most celebrated spots on a guided tour, and have free time to shop, grab lunch, and explore independently. For added convenience, all transportation—including ferry tickets and transfers from select Vancouver hotels—is included.",274.86,142.71,"Vancouver Cruise Pier, 999 Canada Pl, Vancouver, BC V6C 3E1, Canada"
7,Cultural Immersion & Holistic Wellbeing on Haida Gwaii,"We are hosting cultural immersion retreats in Old Massett Community. Rejuvenate your body and calm your mind through wellness workshops; explore the region’s rugged landscape and learn about the local culture through artful experiences, tours and culinary delights.",6500,6500,"Airport pickup offered for Masset Airport, Masset, British Columbia of Canada"
8,Kootenay National Park Day Tour from Calgary,"Canada’s most stunning natural landscapes can be tough to navigate, but you’ll discover a pre-selected mix of self-guided walking trails, panoramic viewpoints, and canyon visits during this full-day tour to Kootenay National Park. Private, climate-controlled transportation from Banff or Calgary is included. Upgrade to include an optional soak in thermal waters at Radium Hot Springs.",210,205,"Coast Calgary Downtown Hotel & Suites by APA, 610 4 Ave SW, Calgary, AB T2P 0K1, Canada OR Banff Aspen Lodge, 401 Banff Ave, Banff, AB T1L 1A9, Canada"
8,Marble & Johnson Canyon Ice Walk Tour from Calgary/Canmore/Banff,See the both fascinating Marble and Johnston canyons of Banff! Do ice-walking with our local experienced guides and enjoy the gorgeous Canadian Rockies in a most unique way possible. Once in a lifetime experience.,155,155,"Delta Hotels Calgary Downtown, 209 4 Ave SE, Calgary, AB T2G 0C6, Canada OR Canmore Inn & Suites, 1402 Bow Valley Trail, Canmore, AB T1W 1N5, Canada OR Banff Caribou Lodge & Spa, 521 Banff Ave, Banff, AB T1L 1H8, Canada"
